iter	Passed	Remaining
0	131	131655
1	133	66629
2	135	44889
3	136	34010
4	138	27623
5	142	23532
6	144	20460
7	146	18106
8	147	16281
9	149	14796
10	150	13549
11	151	12514
12	153	11679
13	154	10915
14	155	10242
15	156	9645
16	157	9116
17	158	8645
18	159	8223
19	160	7842
20	160	7498
21	161	7180
22	162	6887
23	162	6619
24	163	6372
25	164	6143
26	164	5932
27	165	5736
28	165	5553
29	166	5382
30	167	5240
31	168	5101
32	169	4960
33	169	4826
34	170	4700
35	171	4581
36	171	4469
37	172	4363
38	172	4262
39	173	4166
40	174	4074
41	175	3992
42	175	3909
43	176	3833
44	177	3758
45	177	3687
46	178	3618
47	179	3551
48	179	3487
49	180	3426
50	180	3366
51	182	3322
52	183	3270
53	183	3216
54	184	3165
55	184	3115
56	185	3067
57	186	3021
58	186	2977
59	187	2933
60	188	2894
61	188	2858
62	189	2819
63	190	2781
64	190	2744
65	191	2709
66	192	2674
67	192	2640
68	193	2607
69	193	2575
70	194	2544
71	195	2515
72	195	2486
73	197	2465
74	197	2441
75	198	2414
76	199	2387
77	199	2361
78	200	2335
79	200	2310
80	201	2287
81	202	2264
82	202	2239
83	203	2217
84	204	2196
85	204	2175
86	205	2154
87	205	2133
88	206	2113
89	207	2093
90	207	2074
91	208	2055
92	208	2037
93	209	2019
94	210	2003
95	210	1985
96	212	1975
97	212	1959
98	213	1942
99	214	1926
100	214	1910
101	215	1894
102	215	1880
103	216	1865
104	217	1852
105	218	1838
106	218	1824
107	219	1810
108	219	1797
109	220	1783
110	221	1770
111	221	1757
112	222	1744
113	222	1732
114	223	1720
115	224	1708
116	224	1695
117	225	1683
118	226	1673
119	227	1667
120	228	1658
121	228	1647
122	229	1637
123	230	1627
124	231	1618
125	231	1607
126	232	1596
127	232	1586
128	233	1576
129	234	1566
130	234	1556
131	235	1547
132	235	1538
133	236	1528
134	237	1519
135	237	1510
136	238	1501
137	239	1492
138	239	1484
139	240	1475
140	241	1471
141	242	1463
142	242	1455
143	243	1446
144	244	1439
145	244	1431
146	245	1423
147	245	1415
148	246	1408
149	247	1400
150	247	1393
151	248	1385
152	249	1378
153	249	1371
154	250	1364
155	250	1357
156	251	1350
157	252	1342
158	252	1336
159	253	1329
160	253	1321
161	254	1314
162	254	1308
163	255	1302
164	256	1299
165	257	1293
166	258	1287
167	258	1281
168	259	1274
169	259	1268
170	260	1262
171	261	1257
172	261	1251
173	262	1245
174	262	1239
175	263	1233
176	264	1228
177	264	1222
178	265	1218
179	266	1212
180	266	1207
